ARTIST,ALBUM,TYPE,YEAR,GENRE
Aerosmith,Honkin' on Bobo,CD,2004,Rock
"Allman Brothers, the",A Decade of Hits 1969-1979,CD,1991,Rock
"Baker, Anita",Rapture,CD,1986,Soft Rock
"Beatles, The",Anthology 1,CD,1995,Rock
"Blues Brothers, The",Definitive Collection,CD,1981,Soundtrack
"Boling, Claude",Boling Suite for Flute & Jazz Piano Trio,CD,1986,Jazz
"Braxton, Toni",Toni Braxton,CD,1993,R&B
"Brown, Bobby","Dance, ya know it!",CD,1989,Disco
"Buffett, Jimmy",A white Sport Coat and a Pink Crustracean,CD,1973,Rock
"Buffett, Jimmy",living and Dying in 3/4 time,CD,1974,Rock
"Buffett, Jimmy",Hot Water,CD,1988,Rock
"Buffett, Jimmy","Boats, Beaches, Bars & allads",CD,1992,Rock
"Buffett, Jimmy",Beach House on the  Moon,CD,1999,Rock
"Buffett, Jimmy",license to Chill,CD,2004,Rock
"Buffett, Jimmy",live at Fenway Park,CD,2005,Rock
"Buffett, .Jimmy",Take the  Weather with You,CD,2006,Rock
"Buffett, Jimmy",Buffett Hitel,CD,2009,Rock
"Buffett, Jimmy",Songs from St. Elsewhere,CD,2013,Rock
"Chapin Carpenter, Mary",Come On Come On,CD,1992,Soft Rock
"Chapin Carpenter, Mary",Stones in the  Road,CD,1994,Soft Rock
"Chapin Carpenter, Mary",A Place in the  World,CD,1996,Soft Rock
"Chapin Carpenter, Mary",Party Doll,CD,1999,Soft Rock
"Chapin Carpenter, Mary",Time* Sex* Love,CD,2001,Soft Rock
"Chapin Carpenter, Mary",Between Here and Gone,CD,2004,Soft Rock
"Chapman, Steven Curtis",Speechless,CD,1999,Rock
"Chapman, Tracey",Tracey Chapman,CD,1988,Rock
"Charles, Ray",Duets w/  .....,CD,2004,Rock
"Clapton, Eric",Unplugged,CD,1992,Rock
"Clapton, Eric",Cange the  World,CD,1996,Rock
"Clapton, Eric",Reptile,CD,2001,Rock
"Clapton, Eric","One More Car, One More Rider",CD,2002,Rock
"Clapton, Eric",Me  and Mr. Johnson,CD,2004,Rock
"Clapton, Eric",Back Home,CD,2005,Rock
"Clapton, Eric",Campier Clapton,CD,2007,Rock
"Clapton, Eric",Eric Clapton & Stevie Winwood,CD,2009,Rock
"Collins, Phil",No Jacket Required,CD,1985,Rock
Crosby Stills Nash & Young,Looking Forward,CD,1999,Rock
"Crow, Sheryl",Tuesday Night Music Club,CD,1993,Soft Rock
Dirty Dancing,Soundtrack,CD,1987,Soundtrack
Dirty Dancing,More Soundtrack,CD,1988,Soundtrack
Dixie Chicks,Wide Open Spaces,CD,1998,Country
Dixie Chicks,Fly,CD,1999,Country
Dixie Chicks,Home,CD,2002,Country
Doobie Brothers,Best of the  Doobies,CD,1972,Rock
Eagles,Hell Freezes Over,CD,1994,Rock
Eagles,Long Road Out  of Eden,CD,2007,Rock
Earth Wind & Fire,The Essential,CD,2002,Rock
Elton John /  Leon Russell,The Union,CD,2010,Rock
Fleetwood Mac,Greatest Hits,CD,1975,Rock
Foghat,Slow Ride,CD,1977,Rock
"Fox, Jamie",Unpredictable,CD,2005,Jazz
Gentle Rain,Gentle Rain,CD,1995,MOOD
Global Voyage,Global Voyage Artists,CD,1988,Jazz
"Groban, Josh",Josh Groban,CD,2001,Classical
"Grusin, Dave",Sticks and Stones,CD,1988,Jazz
"Henley, Don",Actual Miles,CD,1995,Rock
Indigo Girls,Nomads - Indians - Saints,CD,1990,Rock
"Jackson, Alan",Greatest Hits,CD,1995,Country
"Jackson, Michael",The Essential,CD,2005,Rock
"James, Bob",Ivory Coast,CD,1988,Jazz
Jeff Healey Band,Hell to Pay,CD,1990,Blues
Jethro Tull,Repeat - The Best of Jethro Tull Volume II,CD,1977,Rock
Jethro Tull,Roots to Branches,CD,1995,Rock
"Joel, Billy",Piano Man,CD,1973,Rock
"John, Elton",Greatest Hits,CD,1974,Rock
"Johnson, Jack",In Between Dreams,CD,2005,Rock
"Keith, Toby",Honkytonk University,CD,2005,Country
Kenny G,Miracles - A Holiday Album,CD,1994,Jazz
"Klugh, Earl",Whispers & Promises,CD,1989,Jazz
"Koz, Dave",Lucky Man,CD,1993,Jazz
"Koz, Dave",Off the  Beaten Path,CD,1996,Jazz
"Krahl, Diana",The Girl in the Other Room,CD,2004,Jazz
Lady Antebellum,Own the Night,CD,2011,Contry
Little Feat,Sailin' Shoes,CD,1972,Rock
Little Feat,Feats Don't Fail Me Now,CD,1974,Rock
"Loggins, Kenny",Leak of Faith,CD,1991,Rock
"Loggins, Kenny",Outside From the Redwoods,CD,1993,Rock
Mark Twain,Words and Music,CD,2011,
"Mayer, Peter",Goodbye Hello,CD,2009,Rock
"Messina, Jo Dee",I'm  Alright,CD,1998,Country
"Mozart, Debussy, Greig, Beetho,",Classics for  a Sunday Morning,CD,1996,Classical
Mulberry Lane,Run Your Own Race,CD,1999,Country
Mumford and Sons,Babel,CD,2012,Rock
NARADA,Earth Songs,CD,1993,
Natural Stress Relievers,Natural,CD,,
Nicklecreek,Nicklecreek,CD,2000,Bluegrass
Nicklecreek,This Side,CD,2002,Bluegrass
Nicklecreek,Why Should the  Fire Die,CD,2005,Bluegrass
"Paisley, Brad",Time Well Wasted,CD,2005,Country
"Peterson, Kim",Kimmer's Comedy Classic's V,CD,2001,Comedy
"Plant, Robert",Now &Zen,CD,1988,Rock
"Raitt, Bonnie",Nick of Time,CD,1989,Blues
"Raitt, Bonnie",Luck of the  Draw,CD,1991,Blues
"Raitt, Bonnie",Longing in the  Heart,CD,1994,Blues
"Raitt, Bonnie",Fundamental,CD,1998,Blues
"Raitt, Bonnie",Souls Alike,CD,2005,Blues
"Rat Pack, The",The Rat Pack,CD,1999,
"Sanborn, Dave",Closeup,CD,1988,Jazz
SheDAISY,The Whole SheBang,CD,1999,Country
SpiroGyra,Rites of Summer,CD,1988,Jazz
Spiro Gyra,Dreams Beyond Control,CD,1993,Jazz
Stanley Jordan,Flying Home,CD,1988,Jazz
Steely Dan,Two Against Nature,CD,2000,Rock
Sugarland,Twice the Speed of  Life,CD,2004,Country
Sugarland,Enjoy the  Ride,CD,2006,Country
"Summers, Donna",Another Place and Time,CD,1989,Disco
